Date;bastei.de;bastei-luebbe-academy.de;beam-ebooks.de;bookrix.de;daedalic.de;pmv-raetsel.de;praesenta.de;raeder.de
16.07.14;2028825;3085062;288709;105240;207267;12335799;3490653;2805259
17.07.14;2028606;2559935;294010;105212;197483;12328520;3490854;2805192
18.07.14;2028505;2560343;302124;106036;195053;12328912;3491041;3417539
19.07.14;2028132;2559900;310106;105502;193281;12319796;3490472;3416961
20.07.14;2028052;2559750;304904;106212;200449;12307583;3490214;4243248
21.07.14;2197691;2355711;300538;106076;199659;12299024;3491226;3702701
22.07.14;2196633;2354393;303289;106061;194420;12286536;2992430;3700364
23.07.14;2195556;2353454;303844;107595;194676;12289117;2990694;3698697
24.07.14;2195014;2353119;300765;108051;191311;12299991;2990440;3697834
25.07.14;2194762;2352877;300277;107818;188212;12308594;2989986;3265151
26.07.14;2195079;2353199;306276;108777;188751;12300460;2990755;3265879
27.07.14;2195278;2353156;303290;108297;186213;12289811;2991490;3266090
28.07.14;2195303;2353452;303780;108140;186378;12297622;2992597;3266977
29.07.14;2196307;2354090;306843;109368;190138;12306914;2993534;3268341
30.07.14;2216397;2375840;289251;107407;192077;12409582;3020525;3297541
31.07.14;2010949;2375654;289513;107896;191702;12422965;3021086;3298108
01.08.14;2011645;2674248;285421;109484;195777;12428961;6865724;2935519
02.08.14;2009210;2671478;286323;110558;197060;12415113;6858504;2932370
03.08.14;2009103;2671281;283905;111086;198935;12405226;6857009;2932036
04.08.14;1886886;2675973;303254;112355;195722;12421983;6867612;3471006
05.08.14;1886431;2674982;302203;111858;193940;12425377;6864669;3470248
06.08.14;1886110;2674893;306699;111916;194661;12432727;6864004;3469992
07.08.14;1859007;2674798;298330;110937;198139;12440347;6862967;3469757
08.08.14;1858607;2673532;300373;110173;196138;12439394;6860918;3467821
09.08.14;1855513;2669574;299935;110043;197668;12427556;6852312;3783815
10.08.14;1855651;2669888;299951;110861;199009;12416904;6851280;3784422
11.08.14;1860122;2465399;296874;112041;196767;12440983;6864855;3793164
12.08.14;1859221;2464975;292618;110860;196670;12444556;6864878;3792843
13.08.14;1859135;2465097;290041;109887;196639;12447084;6864635;3792304
14.08.14;1859928;2465980;288777;109968;198111;12443150;6866472;3120797
15.08.14;1859309;2662278;289463;109828;193489;12446968;6864303;3119948
16.08.14;1857574;2659800;285385;109911;196256;12435818;6858548;3116942
17.08.14;1858285;2661058;288897;110697;195572;12435362;6860146;3118014
18.08.14;1863365;2668121;291061;111330;194539;12450773;6875864;3126170
19.08.14;2057758;2362865;285790;110127;189955;12454807;6877691;3127536
20.08.14;1952389;2363557;285354;110046;190684;12456298;6878795;2580803
21.08.14;1857260;2364275;282692;110164;190394;12453275;6880330;2396297
22.08.14;1857437;2364441;280818;110155;189979;12447930;6878619;2396467
23.08.14;1856061;2362310;276069;110214;187587;12440018;6871843;2394227
24.08.14;1857274;2363984;272092;112376;188267;12442061;6872317;2395967
25.08.14;1862378;2370409;275638;113019;188757;12460732;6887358;2402450
26.08.14;2010591;2372559;275832;114143;187824;12458293;4751186;2404817
27.08.14;2010987;2373051;274401;113329;189029;12454742;3275448;2405252
28.08.14;2011577;2373583;271172;113323;188675;12451435;2827174;2158389
29.08.14;2012049;2373376;271218;112974;189838;12451276;2827313;2158586
30.08.14;2009896;2370789;270502;111858;186028;12440945;2824830;2156183
