Date;sony.de;postbank.de;maxdome.de;vorwerk.de;germanwings.com
10.09.14;225;390;213;258;240
11.09.14;227;393;227;256;214
12.09.14;224;336;197;262;237
13.09.14;238;289;211;254;255
14.09.14;239;334;213;244;278
15.09.14;223;416;220;234;302
16.09.14;217;384;209;232;304
17.09.14;217;328;230;235;314
18.09.14;221;345;270;235;281
19.09.14;228;347;246;220;265
20.09.14;232;278;276;208;269
21.09.14;242;306;280;205;259
22.09.14;255;380;241;200;259
23.09.14;265;419;219;205;265
24.09.14;266;403;199;207;256
25.09.14;272;431;238;206;266
26.09.14;281;351;272;207;245
27.09.14;281;220;286;216;234
28.09.14;288;257;319;220;229
29.09.14;291;415;233;217;225
30.09.14;294;482;229;227;236
01.10.14;295;440;269;235;269
02.10.14;288;386;337;251;302
03.10.14;289;318;399;269;322
04.10.14;288;282;381;284;317
05.10.14;287;347;345;295;297
06.10.14;279;409;275;312;290
07.10.14;278;420;249;330;280
08.10.14;280;384;326;340;278
09.10.14;279;393;359;345;294
10.10.14;275;329;369;356;281
11.10.14;272;277;340;358;268
12.10.14;274;282;291;354;263
13.10.14;276;348;247;355;282
14.10.14;266;361;223;347;290
15.10.14;256;362;242;347;305
16.10.14;257;366;281;333;330
17.10.14;255;325;332;320;360
18.10.14;259;287;370;307;339
19.10.14;248;325;381;307;322
20.10.14;248;379;352;295;311
21.10.14;254;359;311;292;275
22.10.14;258;340;314;288;276
23.10.14;272;355;309;275;315
24.10.14;257;329;321;269;326
25.10.14;250;294;331;268;303
26.10.14;253;325;358;269;264
27.10.14;251;373;374;268;288
28.10.14;247;377;387;270;296
29.10.14;238;367;372;270;303
30.10.14;236;403;370;275;317
31.10.14;232;380;339;283;323
01.11.14;227;354;348;290;325
02.11.14;224;369;363;295;300
03.11.14;223;418;372;291;316
04.11.14;222;431;374;296;333
05.11.14;226;394;377;303;302
06.11.14;228;366;409;301;288
07.11.14;226;318;443;296;287
08.11.14;223;295;406;298;301
09.11.14;215;310;360;297;297
10.11.14;214;383;298;296;307
11.11.14;215;384;268;300;332
12.11.14;216;363;257;303;335
13.11.14;219;393;296;305;320
14.11.14;214;322;340;304;317
15.11.14;206;255;345;311;321
16.11.14;210;309;346;311;303
17.11.14;210;411;347;309;294
18.11.14;205;378;340;310;318
19.11.14;200;340;350;311;296
20.11.14;200;318;347;308;300
21.11.14;201;286;348;310;308
22.11.14;201;277;352;312;334
23.11.14;200;307;355;304;356
24.11.14;201;347;343;302;376
25.11.14;204;366;326;298;395
26.11.14;200;349;328;290;384
27.11.14;199;387;354;282;348
28.11.14;201;372;363;276;350
29.11.14;208;340;366;258;324
30.11.14;208;368;359;256;326
01.12.14;210;456;366;248;351
02.12.14;216;421;385;242;355
03.12.14;219;362;392;231;342
04.12.14;218;364;417;225;319
05.12.14;224;325;405;225;294
06.12.14;220;289;361;213;326
07.12.14;218;331;327;211;343
08.12.14;213;394;341;203;323
09.12.14;213;372;389;196;303
10.12.14;211;340;415;194;300
11.12.14;210;355;451;194;330
12.12.14;210;324;439;201;382
13.12.14;212;292;400;188;429
14.12.14;214;326;356;178;430
15.12.14;217;394;343;177;365
16.12.14;224;385;365;179;327
17.12.14;219;368;365;178;337
18.12.14;219;363;358;166;339
19.12.14;219;335;354;162;352
20.12.14;225;277;354;163;376
21.12.14;226;275;356;173;357
22.12.14;232;345;356;180;343
23.12.14;236;352;385;186;341
24.12.14;238;264;378;194;363
25.12.14;238;228;355;198;360
26.12.14;242;257;365;210;375
27.12.14;242;245;360;224;403
28.12.14;238;287;376;235;381
29.12.14;236;382;394;258;348
30.12.14;236;413;419;264;343
31.12.14;236;341;401;274;303
01.01.15;239;367;387;276;306
02.01.15;239;381;401;283;336
03.01.15;242;351;395;287;393
04.01.15;243;340;367;289;404
05.01.15;240;387;344;282;405
06.01.15;242;394;314;274;410
07.01.15;252;381;320;271;373
08.01.15;253;370;325;270;343
09.01.15;254;317;369;269;356
10.01.15;255;312;363;275;359
11.01.15;257;343;334;274;355
12.01.15;256;385;296;281;355
13.01.15;262;371;281;277;321
14.01.15;264;365;302;286;309
15.01.15;266;363;329;285;315
16.01.15;269;328;366;287;335
17.01.15;267;291;387;281;336
18.01.15;271;314;375;285;343
19.01.15;265;359;350;291;359
20.01.15;261;365;317;306;357
21.01.15;261;352;291;320;335
22.01.15;257;358;306;316;336
23.01.15;257;319;342;319;324
24.01.15;258;278;377;329;307
25.01.15;259;278;369;328;303
26.01.15;251;327;355;319;308
27.01.15;255;342;302;312;333
28.01.15;255;350;299;309;362
29.01.15;252;383;310;303;404
30.01.15;250;360;341;296;432
31.01.15;254;339;333;284;385
01.02.15;254;353;348;282;304
02.02.15;255;402;325;264;290
03.02.15;255;384;295;248;315
04.02.15;258;347;288;239;341
05.02.15;255;331;334;229;359
06.02.15;251;320;368;232;361
07.02.15;251;302;404;241;363
08.02.15;254;306;395;232;396
09.02.15;252;361;354;236;430
10.02.15;254;357;292;235;453
11.02.15;252;333;290;243;392
12.02.15;257;316;340;245;369
13.02.15;260;315;377;249;335
14.02.15;261;293;365;252;309
15.02.15;262;305;344;258;308
16.02.15;263;331;311;272;313
17.02.15;258;337;261;286;305
18.02.15;258;329;258;287;340
19.02.15;255;339;274;295;351
20.02.15;255;309;297;299;384
21.02.15;253;267;305;306;353
22.02.15;251;303;321;305;367
23.02.15;246;357;334;310;350
24.02.15;248;373;310;302;360
