"","Date","obi.de","toom.baumarkt.de","hagebau.de","hellweg.de"
"1",52,257,189,158,292
"2",59,248,193,160,301
"3",66,305,191,171,315
"4",73,347,194,168,326
"5",80,352,196,173,331
"6",87,310,197,176,335
"7",94,272,186,167,344
"8",101,231,182,158,356
"9",108,157,186,157,355
"10",115,198,186,156,366
"11",122,207,194,160,369
"12",129,218,202,177,369
"13",136,235,202,189,368
"14",142,246,191,183,367
"15",148,255,192,181,360
"16",154,245,188,179,357
"17",160,240,191,178,362
"18",166,260,192,177,360
"19",172,267,185,163,355
"20",178,291,192,151,324
"21",183,247,191,155,307
"22",188,239,193,154,308
"23",4,216,195,173,288
"24",10,251,198,182,282
"25",16,273,202,221,259
"26",22,300,206,222,239
"27",28,322,207,232,216
"28",34,299,205,225,214
"29",40,267,200,230,225
"30",46,266,197,212,212
"31",53,255,203,205,223
"32",60,309,203,215,240
"33",67,310,201,238,250
"34",74,311,204,236,249
"35",81,308,202,251,271
"36",88,281,205,275,291
"37",95,253,202,296,293
"38",102,281,209,329,308
"39",109,302,219,353,311
"40",116,314,206,344,322
"41",123,311,207,326,333
"42",130,305,204,313,334
"43",137,267,208,311,349
"44",143,226,213,296,358
"45",149,238,215,300,354
"46",155,253,221,278,350
"47",161,244,224,279,346
"48",167,262,221,277,342
"49",173,274,224,267,340
"50",179,254,229,259,350
"51",184,235,237,232,333
"52",189,253,244,233,313
"53",193,266,253,231,293
"54",5,273,253,222,270
"55",11,297,256,220,253
"56",17,286,249,214,245
"57",23,261,240,222,238
"58",29,241,231,230,231
"59",35,249,227,254,232
"60",41,286,225,265,229
"61",47,295,220,269,226
"62",54,292,213,275,223
"63",61,268,208,289,232
"64",68,230,199,289,249
"65",75,234,196,280,253
"66",82,266,194,272,257
"67",89,307,197,268,249
"68",96,314,186,247,231
"69",103,289,189,230,210
"70",110,275,192,224,211
"71",117,263,201,209,225
"72",124,256,204,222,236
"73",131,272,206,229,252
"74",138,297,214,256,284
"75",144,298,205,268,264
"76",150,300,205,272,264
"77",156,312,210,290,277
"78",162,301,216,280,302
"79",168,266,212,277,310
"80",174,305,197,267,342
"81",180,362,189,253,345
"82",185,374,190,244,355
"83",190,338,186,225,367
"84",6,272,187,217,376
"85",12,215,180,211,384
"86",18,180,180,223,398
"87",24,185,170,232,396
"88",30,226,169,234,404
"89",36,210,168,239,415
"90",42,201,166,233,421
"91",48,186,161,219,428
"92",55,195,162,213,416
"93",62,210,167,211,400
"94",69,202,169,213,392
"95",76,194,174,218,371
"96",83,201,167,206,356
"97",90,193,173,206,336
"98",97,197,179,212,335
"99",104,211,184,228,307
"100",111,215,186,240,291
"101",118,207,186,252,275
"102",125,210,197,261,266
"103",132,220,199,240,264
"104",139,212,190,220,265
"105",145,189,190,202,270
"106",151,199,188,199,250
"107",157,224,188,172,238
"108",163,254,185,169,210
"109",169,286,188,177,208
"110",175,318,190,181,205
"111",181,311,197,192,204
"112",186,286,202,207,222
"113",191,273,209,226,243
"114",194,291,222,252,246
"115",1,287,215,279,249
"116",7,294,215,267,256
"117",13,301,217,262,226
"118",19,321,223,257,227
"119",25,294,219,248,225
"120",31,304,214,266,231
"121",37,343,219,269,236
"122",43,356,219,278,253
"123",49,343,216,290,263
"124",56,346,218,294,266
"125",63,313,220,305,260
"126",70,281,218,317,267
"127",77,284,213,314,277
"128",84,312,220,307,276
"129",91,317,213,303,276
"130",98,319,208,277,292
"131",105,342,205,256,299
"132",112,289,203,226,302
"133",119,262,202,207,317
"134",126,289,198,210,340
"135",133,299,205,208,358
"136",140,322,204,219,399
"137",146,363,214,246,391
"138",152,380,212,277,375
"139",158,344,208,301,368
"140",164,295,211,335,373
"141",170,292,211,343,354
"142",176,265,223,325,352
"143",182,246,218,302,351
"144",187,275,211,288,359
"145",192,258,215,277,365
"146",2,256,208,285,350
"147",8,264,203,292,340
"148",14,282,200,300,330
"149",20,297,199,332,324
"150",26,308,199,322,310
"151",32,318,200,314,319
"152",38,314,202,314,307
"153",44,277,204,308,305
"154",50,288,210,300,308
"155",57,274,201,293,305
"156",64,254,199,310,323
"157",71,244,196,272,326
"158",78,253,201,261,325
"159",85,263,193,262,319
"160",92,282,189,288,312
"161",99,287,193,341,319
"162",106,283,187,349,322
"163",113,256,183,343,324
"164",120,262,184,347,328
"165",127,282,191,330,310
"166",134,302,189,317,307
"167",141,313,192,288,294
"168",147,311,199,285,268
"169",153,306,198,277,264
"170",159,307,201,246,260
"171",165,312,207,235,245
"172",171,315,206,238,239
"173",177,299,213,231,249
"174",3,291,217,244,262
"175",9,308,226,254,274
"176",15,330,228,278,293
"177",21,333,230,257,271
"178",27,314,223,265,258
"179",33,308,220,264,256
"180",39,300,226,261,254
"181",45,296,221,257,258
"182",51,300,225,260,260
"183",58,288,223,261,263
"184",65,271,221,286,273
"185",72,258,219,307,270
"186",79,286,213,315,264
"187",86,324,210,308,275
"188",93,340,207,304,271
"189",100,314,206,292,254
"190",107,291,212,275,236
"191",114,274,205,281,226
"192",121,276,204,277,208
"193",128,301,203,269,204
"194",135,317,200,278,201
