Date;obi.de;toom-baumarkt.de;hagebau.de;hellweg.de
09.09.14;257;189;158;292
10.09.14;248;193;160;301
11.09.14;305;191;171;315
12.09.14;347;194;168;326
13.09.14;352;196;173;331
14.09.14;310;197;176;335
15.09.14;272;186;167;344
16.09.14;231;182;158;356
17.09.14;157;186;157;355
18.09.14;198;186;156;366
19.09.14;207;194;160;369
20.09.14;218;202;177;369
21.09.14;235;202;189;368
22.09.14;246;191;183;367
23.09.14;255;192;181;360
24.09.14;245;188;179;357
25.09.14;240;191;178;362
26.09.14;260;192;177;360
27.09.14;267;185;163;355
28.09.14;291;192;151;324
29.09.14;247;191;155;307
30.09.14;239;193;154;308
01.10.14;216;195;173;288
02.10.14;251;198;182;282
03.10.14;273;202;221;259
04.10.14;300;206;222;239
05.10.14;322;207;232;216
06.10.14;299;205;225;214
07.10.14;267;200;230;225
08.10.14;266;197;212;212
09.10.14;255;203;205;223
10.10.14;309;203;215;240
11.10.14;310;201;238;250
12.10.14;311;204;236;249
13.10.14;308;202;251;271
14.10.14;281;205;275;291
15.10.14;253;202;296;293
16.10.14;281;209;329;308
17.10.14;302;219;353;311
18.10.14;314;206;344;322
19.10.14;311;207;326;333
20.10.14;305;204;313;334
21.10.14;267;208;311;349
22.10.14;226;213;296;358
23.10.14;238;215;300;354
24.10.14;253;221;278;350
25.10.14;244;224;279;346
26.10.14;262;221;277;342
27.10.14;274;224;267;340
28.10.14;254;229;259;350
29.10.14;235;237;232;333
30.10.14;253;244;233;313
31.10.14;266;253;231;293
01.11.14;273;253;222;270
02.11.14;297;256;220;253
03.11.14;286;249;214;245
04.11.14;261;240;222;238
05.11.14;241;231;230;231
06.11.14;249;227;254;232
07.11.14;286;225;265;229
08.11.14;295;220;269;226
09.11.14;292;213;275;223
10.11.14;268;208;289;232
11.11.14;230;199;289;249
12.11.14;234;196;280;253
13.11.14;266;194;272;257
14.11.14;307;197;268;249
15.11.14;314;186;247;231
16.11.14;289;189;230;210
17.11.14;275;192;224;211
18.11.14;263;201;209;225
19.11.14;256;204;222;236
20.11.14;272;206;229;252
21.11.14;297;214;256;284
22.11.14;298;205;268;264
23.11.14;300;205;272;264
24.11.14;312;210;290;277
25.11.14;301;216;280;302
26.11.14;266;212;277;310
27.11.14;305;197;267;342
28.11.14;362;189;253;345
29.11.14;374;190;244;355
30.11.14;338;186;225;367
01.12.14;272;187;217;376
02.12.14;215;180;211;384
03.12.14;180;180;223;398
04.12.14;185;170;232;396
05.12.14;226;169;234;404
06.12.14;210;168;239;415
07.12.14;201;166;233;421
08.12.14;186;161;219;428
09.12.14;195;162;213;416
10.12.14;210;167;211;400
11.12.14;202;169;213;392
12.12.14;194;174;218;371
13.12.14;201;167;206;356
14.12.14;193;173;206;336
15.12.14;197;179;212;335
16.12.14;211;184;228;307
17.12.14;215;186;240;291
18.12.14;207;186;252;275
19.12.14;210;197;261;266
20.12.14;220;199;240;264
21.12.14;212;190;220;265
22.12.14;189;190;202;270
23.12.14;199;188;199;250
24.12.14;224;188;172;238
25.12.14;254;185;169;210
26.12.14;286;188;177;208
27.12.14;318;190;181;205
28.12.14;311;197;192;204
29.12.14;286;202;207;222
30.12.14;273;209;226;243
31.12.14;291;222;252;246
01.01.15;287;215;279;249
02.01.15;294;215;267;256
03.01.15;301;217;262;226
04.01.15;321;223;257;227
05.01.15;294;219;248;225
06.01.15;304;214;266;231
07.01.15;343;219;269;236
08.01.15;356;219;278;253
09.01.15;343;216;290;263
10.01.15;346;218;294;266
11.01.15;313;220;305;260
12.01.15;281;218;317;267
13.01.15;284;213;314;277
14.01.15;312;220;307;276
15.01.15;317;213;303;276
16.01.15;319;208;277;292
17.01.15;342;205;256;299
18.01.15;289;203;226;302
19.01.15;262;202;207;317
20.01.15;289;198;210;340
21.01.15;299;205;208;358
22.01.15;322;204;219;399
23.01.15;363;214;246;391
24.01.15;380;212;277;375
25.01.15;344;208;301;368
26.01.15;295;211;335;373
27.01.15;292;211;343;354
28.01.15;265;223;325;352
29.01.15;246;218;302;351
30.01.15;275;211;288;359
31.01.15;258;215;277;365
01.02.15;256;208;285;350
02.02.15;264;203;292;340
03.02.15;282;200;300;330
04.02.15;297;199;332;324
05.02.15;308;199;322;310
06.02.15;318;200;314;319
07.02.15;314;202;314;307
08.02.15;277;204;308;305
09.02.15;288;210;300;308
10.02.15;274;201;293;305
11.02.15;254;199;310;323
12.02.15;244;196;272;326
13.02.15;253;201;261;325
14.02.15;263;193;262;319
15.02.15;282;189;288;312
16.02.15;287;187;341;317
17.02.15;283;187;349;322
18.02.15;256;189;343;327
19.02.15;262;189;347;320
20.02.15;282;196;330;311
21.02.15;302;192;317;306
22.02.15;313;194;288;293
23.02.15;311;196;285;271
24.02.15;306;193;277;273
25.02.15;307;196;246;260
26.02.15;312;200;235;244
27.02.15;315;204;236;251
28.02.15;299;213;227;246
01.03.15;291;219;236;255
02.03.15;308;230;268;266
03.03.15;330;237;298;269
04.03.15;332;246;276;235
05.03.15;315;247;263;217
06.03.15;314;253;232;219
07.03.15;297;259;205;206
