"","Date","UBS","CreditSuisse","GoldmanSachs","MorganStanley","JPMorganChase"
"1",133,281,143,142,152,109
"2",139,278,139,149,155,129
"3",145,270,121,163,174,140
"4",151,335,120,187,189,142
"5",157,379,110,208,184,107
"6",163,356,109,205,184,86
"7",168,343,99,167,178,68
"8",173,347,94,135,167,90
"9",4,331,111,124,162,109
"10",10,347,113,155,175,115
"11",16,363,116,179,171,122
"12",22,324,121,201,175,120
"13",28,279,129,199,183,106
"14",34,254,130,194,183,111
"15",40,282,134,196,180,102
"16",46,262,134,216,182,108
"17",52,267,143,206,201,127
"18",58,304,154,183,205,139
"19",64,322,142,171,205,153
"20",70,346,146,172,206,136
"21",76,350,152,193,186,116
"22",82,330,149,217,175,118
"23",88,320,143,227,172,124
"24",94,303,156,221,172,122
"25",100,313,133,206,174,98
"26",106,327,124,208,178,106
"27",112,314,112,194,181,131
"28",118,299,117,193,182,140
"29",123,292,131,182,187,147
"30",128,284,142,176,195,148
"31",134,293,154,195,204,128
"32",140,315,167,209,208,96
"33",146,343,178,214,202,91
"34",152,357,187,205,196,130
"35",158,348,187,188,182,142
"36",164,358,173,185,173,137
"37",169,329,163,177,171,147
"38",174,312,155,183,171,161
"39",178,330,145,181,186,149
"40",5,334,146,183,185,128
"41",11,336,143,187,182,124
"42",17,329,137,195,178,115
"43",23,312,136,211,182,84
"44",29,303,157,225,189,82
"45",35,296,154,222,202,105
"46",41,325,166,212,204,118
"47",47,326,156,209,209,133
"48",53,321,152,210,213,140
"49",59,318,141,210,216,136
"50",65,317,134,214,223,124
"51",71,333,127,203,229,120
"52",77,343,128,193,234,120
"53",83,338,122,188,239,117
"54",89,330,124,194,236,122
"55",95,299,127,220,227,123
"56",101,287,124,241,211,126
"57",107,297,121,235,194,131
"58",113,291,124,213,183,121
"59",119,275,124,173,180,116
"60",124,265,134,161,170,115
"61",129,278,136,164,172,121
"62",135,306,141,186,169,109
"63",141,318,130,193,175,115
"64",147,343,129,188,184,119
"65",153,304,124,167,192,104
"66",159,293,133,148,191,99
"67",165,324,128,148,194,119
"68",170,370,130,164,196,123
"69",175,407,128,168,184,130
"70",6,410,135,189,179,136
"71",12,386,145,215,177,152
"72",18,347,154,230,174,144
"73",24,299,155,215,189,139
"74",30,300,160,213,204,137
"75",36,285,163,201,220,133
"76",42,289,163,193,220,123
"77",48,298,165,201,223,120
"78",54,299,154,212,227,117
"79",60,293,129,184,223,132
"80",66,287,120,173,214,128
"81",72,293,110,184,210,129
"82",78,300,111,195,201,132
"83",84,317,102,199,196,128
"84",90,316,99,219,192,118
"85",96,315,103,214,182,122
"86",102,308,103,209,181,129
"87",108,310,102,201,184,133
"88",114,318,104,213,192,111
"89",120,334,103,219,190,106
"90",125,362,108,229,197,109
"91",130,372,117,218,203,121
"92",136,357,114,242,197,136
"93",142,324,117,267,206,164
"94",148,320,113,287,215,169
"95",154,343,124,272,217,179
"96",160,376,128,270,219,171
"97",166,400,143,252,226,182
"98",171,405,138,220,228,164
"99",176,380,131,220,225,149
"100",179,371,128,259,223,121
"101",1,357,132,250,215,139
"102",7,382,141,243,207,149
"103",13,384,147,244,205,183
"104",19,405,145,236,199,194
"105",25,403,147,207,189,191
"106",31,394,134,206,189,159
"107",37,367,136,218,181,152
"108",43,333,148,221,181,136
"109",49,309,147,208,176,155
"110",55,320,151,197,182,148
"111",61,322,158,177,184,143
"112",67,323,158,164,182,127
"113",73,318,162,187,188,126
"114",79,322,159,198,192,144
"115",85,317,169,207,193,151
"116",91,331,164,210,198,152
"117",97,354,158,222,210,175
"118",103,374,132,237,201,180
"119",109,380,131,238,201,181
"120",115,385,138,230,211,160
"121",121,357,155,226,215,169
"122",126,334,189,218,221,175
"123",131,326,230,220,224,182
"124",137,344,243,216,231,198
"125",143,363,236,217,233,197
"126",149,370,230,213,239,183
"127",155,365,228,221,236,164
"128",161,333,217,238,238,160
"129",167,303,192,227,236,181
"130",172,315,166,196,239,175
"131",177,326,143,165,236,177
"132",2,342,134,161,229,168
"133",8,359,130,167,226,158
"134",14,356,138,186,232,148
"135",20,343,156,202,239,147
"136",26,319,178,200,247,155
"137",32,308,182,183,247,157
"138",38,310,164,184,231,139
"139",44,300,160,176,223,133
"140",50,303,150,181,217,136
"141",56,320,131,172,211,149
"142",62,310,126,183,208,151
"143",68,309,137,196,205,171
"144",74,306,134,196,209,166
"145",80,315,122,194,210,155
"146",86,332,128,189,217,140
"147",92,329,134,171,222,137
"148",98,332,139,162,226,121
"149",104,302,138,165,224,137
"150",110,277,140,177,221,159
"151",116,282,146,173,221,164
"152",122,291,153,178,220,156
"153",127,310,147,178,217,152
"154",132,326,144,173,217,143
"155",138,336,136,182,221,142
"156",144,307,132,193,227,140
"157",150,318,134,194,222,158
"158",156,352,127,183,213,139
"159",162,373,127,176,206,142
"160",3,388,121,163,197,136
"161",9,380,115,138,194,132
"162",15,354,114,157,194,143
"163",21,310,117,179,193,144
"164",27,293,132,187,194,152
"165",33,312,128,189,191,157
"166",39,319,135,175,200,142
"167",45,328,135,162,209,139
"168",51,336,134,152,218,139
"169",57,329,128,167,218,174
"170",63,312,130,205,215,165
"171",69,301,135,225,220,148
"172",75,317,138,232,225,144
"173",81,337,137,220,226,129
"174",87,360,142,191,221,136
"175",93,350,137,169,223,144
"176",99,336,130,169,224,156
"177",105,310,138,181,231,147
"178",111,292,125,176,225,114
"179",117,298,124,157,223,105
