Date;UBS;CreditSuisse;GoldmanSachs;MorganStanley;JPMorganChase
23.09.14;281;143;142;152;109
24.09.14;278;139;149;155;129
25.09.14;270;121;163;174;140
26.09.14;335;120;187;189;142
27.09.14;379;110;208;184;107
28.09.14;356;109;205;184;86
29.09.14;343;99;167;178;68
30.09.14;347;94;135;167;90
01.10.14;331;111;124;162;109
02.10.14;347;113;155;175;115
03.10.14;363;116;179;171;122
04.10.14;324;121;201;175;120
05.10.14;279;129;199;183;106
06.10.14;254;130;194;183;111
07.10.14;282;134;196;180;102
08.10.14;262;134;216;182;108
09.10.14;267;143;206;201;127
10.10.14;304;154;183;205;139
11.10.14;322;142;171;205;153
12.10.14;346;146;172;206;136
13.10.14;350;152;193;186;116
14.10.14;330;149;217;175;118
15.10.14;320;143;227;172;124
16.10.14;303;156;221;172;122
17.10.14;313;133;206;174;98
18.10.14;327;124;208;178;106
19.10.14;314;112;194;181;131
20.10.14;299;117;193;182;140
21.10.14;292;131;182;187;147
22.10.14;284;142;176;195;148
23.10.14;293;154;195;204;128
24.10.14;315;167;209;208;96
25.10.14;343;178;214;202;91
26.10.14;357;187;205;196;130
27.10.14;348;187;188;182;142
28.10.14;358;173;185;173;137
29.10.14;329;163;177;171;147
30.10.14;312;155;183;171;161
31.10.14;330;145;181;186;149
01.11.14;334;146;183;185;128
02.11.14;336;143;187;182;124
03.11.14;329;137;195;178;115
04.11.14;312;136;211;182;84
05.11.14;303;157;225;189;82
06.11.14;296;154;222;202;105
07.11.14;325;166;212;204;118
08.11.14;326;156;209;209;133
09.11.14;321;152;210;213;140
10.11.14;318;141;210;216;136
11.11.14;317;134;214;223;124
12.11.14;333;127;203;229;120
13.11.14;343;128;193;234;120
14.11.14;338;122;188;239;117
15.11.14;330;124;194;236;122
16.11.14;299;127;220;227;123
17.11.14;287;124;241;211;126
18.11.14;297;121;235;194;131
19.11.14;291;124;213;183;121
20.11.14;275;124;173;180;116
21.11.14;265;134;161;170;115
22.11.14;278;136;164;172;121
23.11.14;306;141;186;169;109
24.11.14;318;130;193;175;115
25.11.14;343;129;188;184;119
26.11.14;304;124;167;192;104
27.11.14;293;133;148;191;99
28.11.14;324;128;148;194;119
29.11.14;370;130;164;196;123
30.11.14;407;128;168;184;130
01.12.14;410;135;189;179;136
02.12.14;386;145;215;177;152
03.12.14;347;154;230;174;144
04.12.14;299;155;215;189;139
05.12.14;300;160;213;204;137
06.12.14;285;163;201;220;133
07.12.14;289;163;193;220;123
08.12.14;298;165;201;223;120
09.12.14;299;154;212;227;117
10.12.14;293;129;184;223;132
11.12.14;287;120;173;214;128
12.12.14;293;110;184;210;129
13.12.14;300;111;195;201;132
14.12.14;317;102;199;196;128
15.12.14;316;99;219;192;118
16.12.14;315;103;214;182;122
17.12.14;308;103;209;181;129
18.12.14;310;102;201;184;133
19.12.14;318;104;213;192;111
20.12.14;334;103;219;190;106
21.12.14;362;108;229;197;109
22.12.14;372;117;218;203;121
23.12.14;357;114;242;197;136
24.12.14;324;117;267;206;164
25.12.14;320;113;287;215;169
26.12.14;343;124;272;217;179
27.12.14;376;128;270;219;171
28.12.14;400;143;252;226;182
29.12.14;405;138;220;228;164
30.12.14;380;131;220;225;149
31.12.14;371;128;259;223;121
01.01.15;357;132;250;215;139
02.01.15;382;141;243;207;149
03.01.15;384;147;244;205;183
04.01.15;405;145;236;199;194
05.01.15;403;147;207;189;191
06.01.15;394;134;206;189;159
07.01.15;367;136;218;181;152
08.01.15;333;148;221;181;136
09.01.15;309;147;208;176;155
10.01.15;320;151;197;182;148
11.01.15;322;158;177;184;143
12.01.15;323;158;164;182;127
13.01.15;318;162;187;188;126
14.01.15;322;159;198;192;144
15.01.15;317;169;207;193;151
16.01.15;331;164;210;198;152
17.01.15;354;158;222;210;175
18.01.15;374;132;237;201;180
19.01.15;380;131;238;201;181
20.01.15;385;138;230;211;160
21.01.15;357;155;226;215;169
22.01.15;334;189;218;221;175
23.01.15;326;230;220;224;182
24.01.15;344;243;216;231;198
25.01.15;363;236;217;233;197
26.01.15;370;230;213;239;183
27.01.15;365;228;221;236;164
28.01.15;333;217;238;238;160
29.01.15;303;192;227;236;181
30.01.15;315;166;196;239;175
31.01.15;326;143;165;236;177
01.02.15;342;134;161;229;168
02.02.15;359;130;167;226;158
03.02.15;356;138;186;232;148
04.02.15;343;156;202;239;147
05.02.15;319;178;200;247;155
06.02.15;308;182;183;247;157
07.02.15;310;164;184;231;139
08.02.15;300;160;176;223;133
09.02.15;303;150;181;217;136
10.02.15;320;131;172;211;149
11.02.15;310;126;183;208;151
12.02.15;309;137;196;205;171
13.02.15;306;134;196;209;166
14.02.15;315;122;194;210;155
15.02.15;332;128;189;217;140
16.02.15;329;134;171;222;137
17.02.15;332;139;162;226;121
18.02.15;302;138;165;224;137
19.02.15;277;140;177;221;159
20.02.15;282;146;173;221;164
21.02.15;291;153;178;220;156
22.02.15;310;147;178;217;152
23.02.15;326;144;173;217;143
24.02.15;336;136;182;221;142
25.02.15;307;132;193;227;140
26.02.15;318;134;194;222;158
27.02.15;352;127;183;213;139
28.02.15;373;127;176;206;142
01.03.15;388;121;163;197;136
02.03.15;380;115;138;194;132
03.03.15;354;114;157;194;143
04.03.15;310;117;179;193;144
05.03.15;293;132;187;194;152
06.03.15;312;128;189;191;157
07.03.15;319;135;175;200;142
08.03.15;328;135;162;209;139
09.03.15;336;134;152;218;139
10.03.15;329;128;167;218;174
11.03.15;312;130;205;215;165
12.03.15;301;135;225;220;148
13.03.15;317;138;232;225;144
14.03.15;337;137;220;226;129
15.03.15;360;142;191;221;136
16.03.15;350;137;169;223;144
17.03.15;336;130;169;224;156
18.03.15;310;138;181;231;147
19.03.15;292;125;176;225;114
20.03.15;298;124;157;223;105
