"","x"
"1",NA
"2","Power of Color! Wir lieben die Limited Edition ✿ Spring/Summer 2015 ✿ von Givenchy: www.douglas.de/colorecreation"
"3",NA
"4","Farbklecks gefällig? Die Pinsel der JACKS Beauty Line sind ein bunter Eyecatcher und sorgen für einen perfekten Auftrag. Kennt Ihr die Schönmacher schon? www.douglas.de/jacks"
"5",NA
"6","Glamour toujours! Gold-braune Smokey Eyes sind eine tolle Alternative zu Schwarz. Habt Ihr auch schon farbige Smokey Eyes ausprobiert?
www.douglas.de/Brown-Smokey"
"7",NA
"8","Unser Duft-Traumpaar der Woche: CK REVEAL! Schon geschnuppert?
Für Sie: www.douglas.de/CKReveal-Woman
Für Ihn: www.douglas.de/CKReveal-Man"
"9","Die neue BoB ist da und sie steht ganz unter dem Motto Fashion Week! Hot or Not? Hier sind die Laufsteg-Stars unserer geliebten Box of Beauty: douglas.de/Bob-Februar"
"10",NA
"11",NA
"12","Dieses Jahr dreht sich alles um die Trendfarbe Marsala! Wir haben für Euch die stylishsten Beauty-Produkte zusammengestellt. Hält das warme Rotbraun auch Einzug in Euer Beauty-Case? www.douglas.de/Marsala"
"13",NA
"14","NUR NOCH HEUTE ... 
... habt Ihr die Chance, Euch für den Produkttest des Gesichtspflege-Sets von GoodSkin Labs zu bewerben. An die Tasten, fertig, los: www.douglas.de/Produkttest-GoodSkin. Bis zum 30.01.2015 erfahrt Ihr per E-Mail, ob Ihr dabei seid. GoodSkin, good luck! 

Leider könnt Ihr euch vorerst nur von Eurem PC oder Laptop oder mobil mit der Desktop-Version von douglas.de für den Produkttest bewerben."
"15","Lust auf einen Moment Ruhe? Unsere limitierte Douglas Home Spa Kollektion verzaubert Euch mit dem Duft nach Kirschblüte: www.douglas.de/Wellness-Set 

Pssst! Unser Douglas Home Spa Körperöl Harmony of Aryurveda mit Mandel- und indischem Mango-Öl ist übrigens für den Glamour-Beauty-Award GLAMMY nominiert :-D"
"16",NA
"17","Think Pink! Unser Motto fürs Wochenende: Fröhliche Farben gegen den Frost! Danke an Anna-Christin von winzieee.

www.douglas.de/Sweet-Paradise"
"18",NA
"19","Wir waren für Euch auf der Fashion Week in Berlin und haben Euch den Braut-Look von Kaviar Gauche mitgebracht: Heller, schimmernder Lidschatten und toller Glow. Was sagt Ihr zu diesem Trend 2015? #mbfw 
www.douglas.de/Braut-Look"
"20",NA
"21",NA
"22","❤❤❤ Ab und zu kann jeder eine kleine Umarmung gebrauchen, oder? Und heute ist der perfekte Tag dafür. Denn es ist Weltknuddeltag! Wen knuddelt Ihr heute von Herzen? ❤❤❤"
