"","x"
"1","Die Duftstars Jury hat entschieden: Diese Düfte kämpfen als Finalisten in der Kategorie ""Prestige"" um den Deutschen Parfumpreis 2015. #duftstars #parfum

► Welcher Duft ist euer Favorit? :-)"
"2",NA
"3","☼ Aufwachen!!! ☼

Um #Sonntag früh aus den Federn zu kommen, beleben wir Körper und Geist mit den erfrischenden #Biotherm Bodysprays:
http://bit.ly/biotherm-koerperspray

► Wie kommt ihr morgens am besten in die Gänge? :-)"
"4","La Petite Robe Noire von #Guerlain begleitet uns heute Abend, wenn wir zum Dinner ins Kleine Schwarze schlüpfen:
http://bit.ly/petit-robe-noire

► Was habt ihr heute vor und welchen Duft tragt ihr dann? :-)"
"5","Fühlen sich eure Hände auch gerade so unangenehm trocken an?
Diese #Handcremes machen sie wieder zart :-)

1) Mit Aprikose http://bit.ly/frollein-creme
2) Mit Bienenwachs http://bit.ly/burts-creme
3) Very British http://bit.ly/penhaligon-creme
4) Grapefruit & Ingwer http://bit.ly/greenland-creme
5) Totaler Luxus http://bit.ly/koh-creme"
"6",NA
"7","#ParfumQuiz: Welcher Duft trägt wohl dieses zarte Blütenkleid? ;-)"
"8",NA
"9","Zum Verkaufsstart des neuen Dufts #ChloeLoveStory verlosen wir ein romantisches Wochenende zu zweit in der Stadt der Liebe sowie viele weitere fantastische Preise <3
► Hier nehmt ihr teil: bit.ly/gewinne-mit-chloe-deine-love-story"
"10",NA
"11","UNSER DUFT FÜRS WOCHENENDE: Das La vie est belle Eau de Toilette von Lancôme. Weil es uns einfach ein Lächeln ins Gesicht zaubert, wenn wir es aufsprühen :-) http://bit.ly/la-vie-est-belle-edt

► Was tragt ihr heute auf?"
"12","Wir rocken ins Wochenende mit dem #YSLBlackOpiumFriday 8|

► Ab heute könnt ihr 5 Produktboxen von YSL im Wert von je 500 Euro gewinnen. Hier geht's zur Teilnahme: http://bit.ly/gewinnt-mit-black-opium

► On top bekommt ihr jeweils freitags bis 06.03. coole Geschenke beim Kauf von YSL Black Opium: http://bit.ly/black-opium-friday"
"13",NA
"14","DIE kennt ihr bestimmt noch nicht ;-) Unsere geheimen #Lieblinge <3

Serge Lutens la fille de Berlin: http://bit.ly/fille-de-berlin
Etro Jacquard: http://bit.ly/jacquard-etro
Maison Martin Margiela: http://bit.ly/maison-martin
Seife von Nesti Dante: http://bit.ly/nesti-dante
Nagellack von Korres: http://bit.ly/korres-myrrh"
"15",NA
"16",NA
"17","NEU AUFGELEGT!
Der Klassiker HUGO WOMAN feiert seine Wiederauferstehung in modernem Design und mit neuer Duftkomposition: Mandarine, Boysenbeere und Himalayagras in der Kopfnote, gefolgt von Iris, Schwarztee und Zedernholz http://bit.ly/hugo-woman-neu

► Wäre das ein Duft für euch? :-)"
"18","Dieses tolle BOSS Orange Set gibt es ab heute dreimal auf der Seite Der Tester zu gewinnen: http://bit.ly/boss-orange-set-gewinnen

Seid ihr BOSS Orange Fans? :-)"
"19","#ManiMonday: 6 inspirierende Nageldesigns für die Winterzeit.

❆ Welches findet ihr am schönsten? ❆"
"20",NA
"21","Vampir-Lifting, Cinderella OP und Lippenbalsam mit Bacon-Geschmack!
Wir haben die verrücktesten Beauty-Trends für euch aufgetan:
► http://bit.ly/bizarre-beauty-trends

Welche #Trends findet ihr besonders seltsam?"
"22","Wir haben die Aquanature Augenpads von Annemarie Börlind Natural Beauty von 50 Frauen testen lassen und zeigen euch hier die Ergebnisse :-)

Wenn ihr wissen wollt, wie gut die hochgelobten Augenpads wirklich sind, klickt euch einfach durch unser Album. 
http://bit.ly/boerlind-augenpads-bei-flaconi"
"23",NA
"24","Wir schenken euch zu jeder Bestellung Lindor-Kugeln von #Lindt.
<3 http://bit.ly/valentinsgeschenke-bei-flaconi <3

Nur solange der Vorrat reicht. #valentinstag #geschenkidee"
"25",NA
"26","♂ Salzig-orientalisch ♂
Den Verführer-Duft Calvin Klein Reveal gibt's jetzt auch für Männer!
http://bit.ly/reveal-for-men"
"27",NA
"28","Unser Duft für heute heißt Lacoste Pour Femme - raffiniert und elegant zugleich. http://bit.ly/lacoste-parfums

► Welches #Parfum tragt ihr heute? :-)"
"29","Na, welches Parfum suchen wir? ;-)

http://www.flaconi.de/parfum/"
"30",NA
"31","Unsere Beauty #Vorsätze für 2015 - was sind eure? :-)"
"32",NA
"33","Ihr seid noch auf der Suche nach der perfekten Gesichtspflege für den #Winter? Bloggerin Lena von Skinnycature zeigt euch ihre Favoriten!

http://magazin.flaconi.de/gesichtspflege-im-winter-skinny-cature-testet-declare/"
