"","x"
"1","Habt Ihr Lust Anastasia und Christian zu treffen? Dann macht mit und gewinnt ein exklusives Shades-of-Grey-Set bestehend aus 25x2 Kino-Karten für den Film plus 25x1 Mini-Set der limitierten OPI Shades of Grey Kollektion. Einlösbar in allen 86 Cineplex-Kinos in Deutschland. Schickt uns einfach bis zum 08.02.2015 eine E-Mail an facebook@douglas.de und vergesst nicht den Betreff ""Shades of Grey"" sowie Eure Postanschrift. Die Gewinner benachrichtigen wir dann am 09.02.2015. Unsere Teilnahmebedingungen zum Gewinnspiel findet Ihr hier: www.douglas.de/shadesofgrey  
Viel Glück!"
"2","Go Nude, but better! Ob Concealer, Lip Stick oder Eye Pencil, die Basics von Nudestix sind die perfekten Tools für einen supersanften Nude-Look. www.douglas.de/Nudestix"
"3","Die Liebe schreibt die besten, skurrilsten und traurigsten Geschichten, oder? Deshalb widmet Chloé allen Liebesgeschichten nun einen eigenen Duft. Seid Ihr bereit, euch in den neuen Duft Love Story zu verlieben? 
www.douglas.de/chloe-lovestory
#chloelovestory"
"4",NA
"5",NA
"6","❤ Wir versüßen Euch den Valentinstag mit noch mehr wunderschönen Gewinnen! ❤ Auf unserem Blog beautystories warten insgesamt 50 Beauty-Preise auf Euch, die das Herz höher schlagen lassen. Wir drücken Euch die Daumen: www.douglas.de/Sweet-Valentin-2015"
"7",NA
"8","Rote Statement-Lippen sind das schönste Accessoire einer Frau! Was ist Euer Lieblings-Rot? www.douglas.de/Be-Legendary"
"9",NA
"10","Sunshine, wir vermissen Dich! Solange trösten wir uns mit Sonne aus dem Flakon!
www.douglas.de/Marigold
www.douglas.de/Jaune"
"11",NA
"12","Pssst, Ladies: Ab morgen gibt's bei uns im Online-Shop die limitierte OPI Nagellackkollektion zum Film ""Fifty Shades of Grey""!"
"13",NA
"14","Power of Color! Wir lieben die Limited Edition ✿ Spring/Summer 2015 ✿ von Givenchy: www.douglas.de/colorecreation"
"15",NA
"16","Farbklecks gefällig? Die Pinsel der JACKS Beauty Line sind ein bunter Eyecatcher und sorgen für einen perfekten Auftrag. Kennt Ihr die Schönmacher schon? www.douglas.de/jacks"
"17",NA
"18","Glamour toujours! Gold-braune Smokey Eyes sind eine tolle Alternative zu Schwarz. Habt Ihr auch schon farbige Smokey Eyes ausprobiert?
www.douglas.de/Brown-Smokey"
"19",NA
"20","Unser Duft-Traumpaar der Woche: CK REVEAL! Schon geschnuppert?
Für Sie: www.douglas.de/CKReveal-Woman
Für Ihn: www.douglas.de/CKReveal-Man"
"21","Die neue BoB ist da und sie steht ganz unter dem Motto Fashion Week! Hot or Not? Hier sind die Laufsteg-Stars unserer geliebten Box of Beauty: douglas.de/Bob-Februar"
"22",NA
"23",NA
"24","Dieses Jahr dreht sich alles um die Trendfarbe Marsala! Wir haben für Euch die stylishsten Beauty-Produkte zusammengestellt. Hält das warme Rotbraun auch Einzug in Euer Beauty-Case? www.douglas.de/Marsala"
"25",NA
"26","NUR NOCH HEUTE ... 
... habt Ihr die Chance, Euch für den Produkttest des Gesichtspflege-Sets von GoodSkin Labs zu bewerben. An die Tasten, fertig, los: www.douglas.de/Produkttest-GoodSkin. Bis zum 30.01.2015 erfahrt Ihr per E-Mail, ob Ihr dabei seid. GoodSkin, good luck! 

Leider könnt Ihr euch vorerst nur von Eurem PC oder Laptop oder mobil mit der Desktop-Version von douglas.de für den Produkttest bewerben."
"27","Lust auf einen Moment Ruhe? Unsere limitierte Douglas Home Spa Kollektion verzaubert Euch mit dem Duft nach Kirschblüte: www.douglas.de/Wellness-Set 

Pssst! Unser Douglas Home Spa Körperöl Harmony of Aryurveda mit Mandel- und indischem Mango-Öl ist übrigens für den Glamour-Beauty-Award GLAMMY nominiert :-D"
"28",NA
"29","Think Pink! Unser Motto fürs Wochenende: Fröhliche Farben gegen den Frost! Danke an Anna-Christin von winzieee.

www.douglas.de/Sweet-Paradise"
"30",NA
"31","Wir waren für Euch auf der Fashion Week in Berlin und haben Euch den Braut-Look von Kaviar Gauche mitgebracht: Heller, schimmernder Lidschatten und toller Glow. Was sagt Ihr zu diesem Trend 2015? #mbfw 
www.douglas.de/Braut-Look"
"32",NA
"33",NA
"34","❤❤❤ Ab und zu kann jeder eine kleine Umarmung gebrauchen, oder? Und heute ist der perfekte Tag dafür. Denn es ist Weltknuddeltag! Wen knuddelt Ihr heute von Herzen? ❤❤❤"
"35","Unser Look zum Valentin: Eye-Make-up in Lavendel-Farben und eine elegante Fake-Bob-Frisur <3 Die Anleitung für alle Romantikerinnen unter Euch gibt's hier: www.douglas.de/Valentinslook"
"36",NA
"37",NA
"38","Natürlicher Glow? Optimale Feuchtigkeit? Leichtigkeit und Sonnenschutz? Plus individuelle Deckkraft? Das Make-up-Luftkissen ""Lancôme Teint Miracle Cushion"" revolutioniert und verschönert unsere Beauty-Routine! 
Bis zum 07.02.2015 exklusiv unter www.douglas.de/Lancome-Cushion"
