"","x"
"1",NA
"2",NA
"3",NA
"4","Dr. K’s Barber-Produkte NEU bei uns! Ein Traum für jeden Bartträger :)
http://www.parfumdreams.de/Dr-K-Soap-Company"
"5",NA
"6","Sicher dir gleich zwei Geschenke von DKNY
http://bit.ly/Ihr-Geschenk-von-DKNY

Nur solange der Vorrat reicht!"
"7","Die Gewinner der zehn Kindle Fire HDX7 sind:

Andrea K.
Rainer H.
Tanja F.
Uta K.
Daniel F.
Catherine R.
Sarah L.
Sven J.
Britta F.
Nicole S.

Also schnell E-Mails checken und abstauben :)"
"8",NA
"9","Das Parfumdreams Team wünscht euch ein tolles Wochenende! Habt ihr schon Pläne?"
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19","Wir wünschen Euch ein 
FROHES NEUES JAHR!

Mögt Ihr im Jahr 2015 glückliche Momente und erstrebte Erfolge erleben!

Wir bedanken uns für das Jahr 2014 und freuen uns auf das Jahr 2015 mit Euch!"
"20",NA
"21","Die Gewinner des Paypal Gewinnspiels sind ausgelost!

Herzlichen Glückwunsch an die Gewinner!

Bianca G.
Jessica M.
Carola S.
Claudia G.
Thomas S.
Dominic L.
Franz-Josef S.
Alexander S.
Mirja H.
Klaus K.
Monika K.
Tobias K.
Desiree L.
Daniela H.
Sabine V.
Felek Y.
Frank M.
Nabauia N.
Fabiana E."
"22",NA
"23",NA
"24","Das gesamte Parfumdreams-Team wünscht Euch 
FROHE WEIHNACHTEN!

Was Weihnachten ist, haben wir fast vergessen
Weihnachten ist mehr als ein festliches Essen.
Weihnachten ist mehr als Lärmen und Kaufen,
durch neonbeleuchtete Straßen laufen.
Weihnachten ist: Zeit für die Kinder haben,
und auch für Fremde mal kleine Gaben.
Weihnachten ist mehr als Geschenke schenken.
Weihnachten ist: Mit dem Herzen denken.
Und alte Lieder beim Kerzenschein -
so soll Weihnachten sein!"
"25",NA
"26","Herzlichen Glückwunsch an die Gewinner des Lancôme Gewinnspiels!

Wer in der Liste seinen Namen erahnen kann und noch nicht seine E-Mails gecheckt hat kann sich vielleicht als glücklicher Gewinner schätzen! 

Jana B.
Silvana N.
Edeltraut S.
Sabine F.
Hülya U.
Olga M.
Manja W.
Anja W.
Joachim M.
Sandra R.
Yuqian F.
Daria L.
Sina T.
Beate K.
Justyna S.
Sabine H.
Martina K.
Katrin S.
Irina A.
Claudia W. 
Nadine L.
Jenny M.
Marina H.
Emma K.
Sybille P.
Christina K.
Anja F. 
Erika T.
Elke A.
Jennifer R.
Meltem C.
Andrea T.
Michael B.
Anna H.
Felicitas R."
"27",NA
"28",NA
"29","Überrasche dich doch mal! 
Mit der Parfumdreams BEAUTY BOX! http://www.parfumdreams.de/beautybox
Das limitierte Beauty-Überraschungspaket für Damen oder Herren -  gefüllt mit Originalprodukten im Wert von über 50 €!"
"30","Aktuell könnt Ihr euch gleich zwei Miniaturen von Schwarzkopf zu eurer Bestellung sichern!

http://www.parfumdreams.de/Incentive.aspx?Id=0d2dfe33-7e82-4ccc-ab88-ba878b763650"
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37","Sichere Dir jetzt zu deiner Prada Duft- Bestellung eine Candy Miniatur und versüße dir den Alltag.

Aber psst.... nur so lange der Vorrat reicht."
"38","Parfumdreams und Lancôme verlosen gemeinsam insgesamt 35 tolle Preise! Schnell mitmachen und tolle Gewinne sichern!

http://www.parfumdreams.de/Sweapstake.aspx?Id=b9b44520-e8d7-45ea-ae19-49c1a604d329"
"39",NA
"40","Neu bei Parfumdreams – INVISIVOBBLE WITH LOVE STYLINGBOX. Die innovativen Haargummis!

Das Set beinhaltet 3x verschiedene Haargummis, 2x Donuts, 1x Haarklammer und einem Stylingbooklet.

http://www.parfumdreams.de/Invisibobble/Haarschmuck/White-Love/White-Love-Styling-Kit/index_47862.aspx"
"41",NA
"42","Jennifer Anniston mit ihrer Haarpflegemarke „Living proof“ jetzt auf parfumdreams.de erhältlich! 

http://www.parfumdreams.de/living-proof"
"43",NA
"44","Jetzt NEU auf parfumdreams.de : „Revlon Professional"" !"
"45",NA
"46",NA
"47",NA
"48","Hier könnt Ihr Euch ganz einfach, unverbindlich und kostenlos zu unserem Newsletter anmelden und bleibt so automatisch auf dem Laufenden:
http://www.parfumdreams.de/Newsletter?email=
Es warten viele Aktionen speziell für Newsletter-Abonnenten auf Euch!"
"49",NA
"50",NA
"51",NA
"52","Unser erster Adventskalender! Läuft jetzt schon wie Glühwein auf dem Weihnachtsmarkt :-)
http://www.parfumdreams.de/Adventskalender/Accessoires/Advent/Adventskalender/index_47764.aspx"
"53",NA
"54",NA
"55",NA
"56","Gewinne mit Penhaligon's London und Parfumdreams.de eine Traumreise nach London!

http://www.parfumdreams.de/Sweapstake.aspx?Id=04df5247-7044-43bf-aabc-b4dc058d5f05"
"57","PayPal und Parfumdreams.de erfüllen eure Wünsche!
 
Verlost werden Einkaufsgutscheine von Parfumdreams.de im Gesamtwert von 8000 € 

Die Teilnahme ist ganz einfach: Ihr müsst im Zeitraum vom 30.09.2014 – 31.10.2014 bei eurem Einkauf auf Parfumdreams.de mit der Zahlungsmethode „PayPal“ oder „PayPal Express“ bezahlen und schon nehmt ihr automatisch an dem Gewinnspiel teil."
"58",NA
"59","Gratis Zugabe – Moroccanoil Tasche mit exklusiven Proben"
"60","Gratis Zugabe - Paco Rabanne Lady Million Body Lotion 100 ml"
"61",NA
"62",NA
"63",NA
"64","Na wäre Tom Ford - Velvet Orchid was für euch?
http://bit.ly/PD-TF-VelvetOrchid"
"65",NA
"66",NA
"67",NA
"68",NA
"69",NA
"70","Wahnsinns Leistung unserer Jungs ! Jetzt bis 14 Uhr liken und eins von drei original Trikots gewinnen! Wir werden diese gleich morgen versenden! Jetzt schon 7:0 !!!!!!!!!!"
"71",NA
"72","Die Losfee hat die Gewinner des neuen Lacoste Dufts „L!ve“ gezogen. Die glücklichen 20 sind:

1. Jola Galinski
2. Romi Wagner
3. Andre Schestokat
4. Jeannette Planert
5. Tamara Öfner
6. Maddin Wisch Nefski
7. Alex Anders
8. Danny Uecker
9. Margit Lauter
10. Marko Aleksic
11. Thomas Sommerfeld
12. Charivary Röschen
13. Sven Dörrich
14. Karl-Heinz Dirks
15. Thomas Döring
16. Conny Spies
17. Stephan Karl
18. Heiko Jennrich
19. Sabine Jurukin
20. Melinda Kaiser

Bitte lasst uns eure Mailadresse zukommen, sodass wir hinsichtlich der Preise Kontakt mit euch aufnehmen können. Herzlichen Glückwunsch an alle Gewinner. Bitte gebt uns bis 04.07.2014 eine Antwort, da wir ansonsten neue Gewinner auslosen müssen.

Liebe Grüße euer Parfumdreams Team"
"73","Jetzt bis zum 30.06.2014 Liken und eines von 20 neuen Lacoste L!ve Düften vor dem offiziellen Verkaufsstart testen.
Die Gewinner der Verlosung werden am 1.7.2014 um 17:00 Uhr bekannt gegeben.
Auf die Plätze, Liken und Gewinnen ...
Teilnahmebedingungen: http://bit.ly/PD-Teilnahmeb"
"74","Die Gewinner des Gewinnspiels in Kooperation mit www.Wall-Art.de ist beendet. Die Gewinner sind:
Paulmarina Benne 
Carina Kathrin H
Ela Zuber

Bitte lasst uns eure Mailadresse zukommen, sodass wir hinsichtlich der Preise Kontakt mit euch aufnehmen können. Herzlichen Glückwunsch an euch drei und vielen Dank an alle Beteiligten. Bitte gebt uns bis 28.06.2014 eine Antwort, da wir ansonsten neue Gewinner auslosen müssen.

Liebe Grüße euer Parfumdreams Team"
"75",NA
"76",NA
"77",NA
"78","Gewinne mit www.Parfumdreams.de und www.WALL-ART.de einen von drei tollen Preisen.
Wir verlosen unter allen die diesen Beitrag bis zum 21.06.2014 TEILEN drei Sets, bestehend aus einem Flora by Gucci Eau de Parfum 100 ml und einem Wandtattoo „Träume nicht dein Leben, lebe deinen Traum“ in deiner Wunschfarbe!
Teilnahmebedingungen und Hinweise zum Datenschutz findest du http://bit.ly/PD-Teilnahmebdg"
"79",NA
"80",NA
"81","ParfumdreamS.de ist Computerbild Top Shop 2014!* Wir freuen uns riesig über diese Auszeichnung, ihr hoffentlich auch ? :-)

*http://www.computerbild.de/artikel/Pressemitteilung-17-Mai-2014-10096406.html"
"82",NA
"83",NA
"84",NA
"85",NA
"86",NA
"87",NA
"88","Jetzt beim Montale Gewinnspiel mitmachen unter: http://bit.ly/PD-Montale-GWP
Mehr Infos unter: http://bit.ly/PD-Montale01
und noch mehr Infos http://bit.ly/PD-Montale02"
"89",NA
"90",NA
"91","Selbstverständlich unterstützen wir diese Petition zu 100%! Wäre schön wenn alle Duftliebhaber diese Petition unterschreiben würden...

http://www.parfumo.de/petition/index.html"
"92",NA
"93","Jetzt mitmachen und nach Mailand auf die Fashion Week gehen ...
http://www.parfumdreams.de/Sweapstake.aspx?Id=5f050902-adff-4243-9e61-b25abb7d42e8"
"94",NA
"95",NA
"96",NA
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102","Der Spot zur neuesten Duftkreation aus dem Hause Bvlgari - Omnia Indian Garnet
http://youtu.be/PCT_Wb_jmGE"
"103",NA
"104",NA
"105","Der Duft für Sieger! Wähle INVICTUS jetzt zu deinem #Duftstar: http://www.duftstars.de/voting"
"106","Exklusiv bei PARFUMDREAMS.de - http://bit.ly/PD_Kenzo"
"107",NA
"108","Jetzt mitspielen und gewinnen: http://bit.ly/PD_GWS02"
"109",NA
"110","Sind die neuen Karl Lagerfeld Düfte auch was für dich?
http://youtu.be/OD8Q-8N5Nxw"
"111",NA
"112","Jetzt beim MaxFactor Gewinnspiel von PARFUMDREAMS teilnehmen!"
"113","Na bekommt Ihr auch Urlaubsstimmung bei diesem Spot?
http://youtu.be/4wZ816JX8g0"
"114",NA
