"","Date","douglas.de","iparfumerie.de","flaconi.de","parfumdreams.de"
"1",48,374,394,1489,206
"2",54,388,391,1443,220
"3",60,409,391,1469,191
"4",66,417,391,1557,168
"5",72,414,390,1592,146
"6",78,395,389,1602,178
"7",84,377,390,1585,133
"8",90,345,387,1583,119
"9",96,312,384,1596,104
"10",102,268,361,1608,94
"11",108,239,349,1689,92
"12",114,218,353,1659,98
"13",120,251,357,1568,129
"14",126,269,343,1466,173
"15",132,309,336,1401,200
"16",138,267,327,1336,212
"17",144,258,329,1225,223
"18",150,255,317,1182,263
"19",156,247,301,1023,288
"20",162,280,289,813,292
"21",168,292,286,674,310
"22",174,313,282,551,321
"23",180,328,277,511,332
"24",3,336,288,500,355
"25",9,306,310,584,364
"26",15,295,314,572,378
"27",21,316,305,574,389
"28",27,314,295,544,390
"29",33,328,300,519,391
"30",38,331,294,483,396
"31",43,323,293,561,384
"32",49,317,312,602,365
"33",55,346,348,604,348
"34",61,361,324,674,336
"35",67,336,334,577,324
"36",73,319,296,543,313
"37",79,299,279,590,307
"38",85,274,273,623,301
"39",91,253,267,725,273
"40",97,278,280,683,243
"41",103,292,261,666,223
"42",109,315,246,574,198
"43",115,338,239,547,189
"44",121,334,236,569,179
"45",127,286,234,569,163
"46",133,276,232,594,158
"47",139,288,224,588,157
"48",145,275,222,622,159
"49",151,279,216,631,150
"50",157,275,218,646,156
"51",163,278,223,660,162
"52",169,274,227,762,172
"53",175,293,247,802,192
"54",4,331,273,792,224
"55",10,317,259,798,178
"56",16,330,270,789,177
"57",22,310,280,786,175
"58",28,297,277,800,178
"59",34,290,276,814,182
"60",39,307,282,850,191
"61",44,312,280,894,210
"62",50,327,293,876,220
"63",56,339,302,859,224
"64",62,355,323,843,220
"65",68,344,313,824,222
"66",74,357,317,773,234
"67",80,374,318,771,222
"68",86,361,319,739,220
"69",92,355,321,718,215
"70",98,373,319,674,209
"71",104,380,324,649,203
"72",110,399,329,618,204
"73",116,395,310,623,204
"74",122,407,292,666,204
"75",128,418,301,674,208
"76",134,438,289,694,207
"77",140,446,270,591,205
"78",146,449,267,602,208
"79",152,458,265,600,211
"80",158,473,260,599,218
"81",164,460,249,623,223
"82",170,442,243,557,233
"83",176,419,246,563,243
"84",181,423,252,510,251
"85",5,386,261,513,245
"86",11,380,252,506,252
"87",17,363,265,482,259
"88",23,369,264,493,257
"89",29,375,284,481,257
"90",35,412,286,481,259
"91",40,434,306,485,263
"92",45,468,318,507,265
"93",51,480,339,527,257
"94",57,498,362,495,263
"95",63,503,373,493,267
"96",69,504,391,483,267
"97",75,500,410,473,272
"98",81,475,422,470,270
"99",87,463,422,498,281
"100",93,470,428,508,283
"101",99,463,427,499,290
"102",105,458,424,483,295
"103",111,463,422,493,292
"104",117,480,420,489,282
"105",123,459,407,471,283
"106",129,448,388,473,286
"107",135,419,370,473,277
"108",141,406,350,455,273
"109",147,381,326,452,264
"110",153,369,306,463,261
"111",159,348,287,450,258
"112",165,322,279,428,252
"113",171,321,267,431,257
"114",177,330,259,440,246
"115",6,340,276,449,246
"116",12,360,269,442,228
"117",18,382,265,436,223
"118",24,394,273,424,219
"119",30,410,278,397,229
"120",36,433,290,391,241
"121",41,432,296,391,256
"122",46,414,305,384,262
"123",52,415,306,370,266
"124",58,409,313,350,274
"125",64,404,306,328,277
"126",70,388,308,285,286
"127",76,386,315,277,291
"128",82,384,316,271,297
"129",88,379,314,261,306
"130",94,382,293,269,310
"131",100,362,296,263,303
"132",106,340,295,236,297
"133",112,346,289,222,288
"134",118,349,299,226,288
"135",124,353,307,210,290
"136",130,372,317,204,284
"137",136,374,321,213,282
"138",142,389,337,232,279
"139",148,407,344,247,281
"140",154,411,352,227,279
"141",160,393,355,223,280
"142",166,385,376,213,275
"143",172,386,390,219,262
"144",178,413,382,253,258
"145",182,442,378,267,249
"146",1,416,384,285,247
"147",7,412,387,299,238
"148",13,417,382,337,235
"149",19,428,384,354,228
"150",25,436,385,385,228
"151",31,421,386,421,226
"152",37,427,380,455,216
"153",42,407,381,475,222
"154",47,380,373,490,213
"155",53,377,372,515,210
"156",59,375,361,499,211
"157",65,387,360,492,210
"158",71,416,354,489,205
"159",77,449,365,487,203
"160",83,461,375,498,211
"161",89,453,380,478,209
"162",95,452,373,473,200
"163",101,446,367,441,211
"164",107,454,377,414,217
"165",113,447,368,412,222
"166",119,412,383,392,231
"167",125,383,399,412,258
"168",131,347,399,400,270
"169",137,338,379,400,289
"170",143,341,376,396,297
"171",149,351,366,383,307
"172",155,393,363,413,300
"173",161,416,361,425,292
"174",167,425,378,422,295
"175",173,414,372,423,295
"176",179,405,375,436,302
"177",2,410,376,442,306
"178",8,406,386,450,309
"179",14,404,378,464,313
"180",20,420,388,467,314
"181",26,426,399,464,316
"182",32,424,410,463,309
