Date;billiger-mietwagen.de;e-sixt.de;europcar.de;rentalcars.com;avis.de
09.08.14;379;460;310;264;297
10.08.14;370;410;312;302;302
11.08.14;371;387;313;309;306
12.08.14;366;337;318;347;311
13.08.14;344;339;329;350;306
14.08.14;343;313;323;290;299
15.08.14;343;316;331;250;290
16.08.14;322;321;319;258;283
17.08.14;316;339;322;309;275
18.08.14;309;342;319;357;269
19.08.14;305;339;300;387;261
20.08.14;296;379;275;415;225
21.08.14;301;415;256;369;220
22.08.14;309;434;241;327;204
23.08.14;308;419;231;298;190
24.08.14;316;412;220;287;176
25.08.14;321;400;212;283;175
26.08.14;337;376;215;317;172
27.08.14;344;383;215;365;171
28.08.14;349;375;227;356;179
29.08.14;353;389;249;304;174
30.08.14;348;377;272;289;178
31.08.14;351;369;262;305;199
01.09.14;360;330;260;345;208
02.09.14;355;318;268;420;220
03.09.14;356;302;274;445;215
04.09.14;357;280;271;383;236
05.09.14;359;290;283;334;238
06.09.14;350;312;301;325;257
07.09.14;342;299;306;333;253
08.09.14;317;311;311;351;248
09.09.14;291;344;320;407;251
10.09.14;293;350;308;461;261
11.09.14;268;365;295;431;266
12.09.14;278;372;288;408;273
13.09.14;265;396;272;373;275
14.09.14;252;376;259;333;277
15.09.14;248;354;255;326;304
16.09.14;244;327;243;379;294
17.09.14;243;288;237;438;302
18.09.14;249;295;228;415;309
19.09.14;257;347;223;350;288
20.09.14;273;395;210;319;279
21.09.14;283;421;210;287;270
22.09.14;283;451;219;293;264
23.09.14;313;439;229;341;264
24.09.14;325;422;230;368;272
25.09.14;336;429;251;326;279
26.09.14;346;427;253;284;283
27.09.14;345;408;266;295;287
28.09.14;351;393;269;320;274
29.09.14;357;371;267;371;282
30.09.14;362;328;274;434;281
01.10.14;360;303;281;458;280
02.10.14;362;304;284;412;287
03.10.14;364;353;286;342;308
04.10.14;353;375;290;306;312
05.10.14;362;406;296;285;312
06.10.14;359;413;293;297;330
07.10.14;350;386;290;343;338
08.10.14;345;365;282;377;339
09.10.14;342;380;285;385;338
10.10.14;343;390;294;354;345
11.10.14;347;399;320;327;368
12.10.14;353;418;285;323;366
13.10.14;360;400;284;329;364
14.10.14;365;379;281;337;362
15.10.14;361;342;273;353;359
16.10.14;365;325;274;338;369
17.10.14;358;323;286;304;385
18.10.14;343;318;303;284;384
19.10.14;342;325;312;291;417
20.10.14;357;339;328;324;372
21.10.14;347;339;338;361;359
22.10.14;368;329;352;381;345
23.10.14;355;343;364;364;343
24.10.14;345;355;373;314;318
25.10.14;332;359;387;294;311
26.10.14;321;362;401;276;317
27.10.14;315;340;402;305;318
28.10.14;304;330;408;355;319
29.10.14;299;325;413;377;330
30.10.14;304;328;405;363;348
31.10.14;307;341;396;318;337
01.11.14;315;343;392;290;353
02.11.14;313;353;396;277;335
03.11.14;307;356;369;299;341
04.11.14;301;332;347;353;351
05.11.14;292;312;335;361;348
06.11.14;301;305;311;339;352
07.11.14;304;298;294;323;338
08.11.14;308;299;288;312;325
09.11.14;309;298;275;331;322
10.11.14;315;296;258;345;313
