Date;rewe.de;edeka.de;lidl.de;kaufland.de;penny.de
09.09.14;301;149;205;178;139
10.09.14;304;163;196;166;128
11.09.14;312;164;229;161;133
12.09.14;311;166;271;157;137
13.09.14;311;174;301;163;140
14.09.14;316;172;279;157;145
15.09.14;323;174;231;163;149
16.09.14;332;180;193;167;151
17.09.14;337;159;217;179;157
18.09.14;349;159;242;180;154
19.09.14;354;142;213;193;152
20.09.14;355;125;237;197;163
21.09.14;359;110;262;211;162
22.09.14;368;110;299;211;168
23.09.14;386;128;265;214;169
24.09.14;385;153;215;223;171
25.09.14;384;161;197;223;169
26.09.14;372;162;218;227;169
27.09.14;375;159;211;238;169
28.09.14;370;158;214;233;169
29.09.14;369;159;244;238;167
30.09.14;366;165;279;241;166
01.10.14;346;169;276;237;166
02.10.14;346;183;242;238;166
03.10.14;325;165;223;238;165
04.10.14;306;143;280;241;163
05.10.14;289;148;313;239;165
06.10.14;284;155;293;239;162
07.10.14;269;170;267;234;162
08.10.14;263;192;254;232;159
09.10.14;249;206;251;228;158
10.10.14;259;210;278;222;158
11.10.14;254;216;322;229;161
12.10.14;240;221;322;231;163
13.10.14;244;230;279;234;164
14.10.14;263;221;258;237;168
15.10.14;262;206;274;241;164
16.10.14;272;184;276;248;160
17.10.14;249;163;252;248;160
18.10.14;258;147;270;255;159
19.10.14;267;138;273;253;156
20.10.14;274;145;284;257;156
21.10.14;290;164;322;266;156
22.10.14;292;184;301;266;155
23.10.14;304;169;240;264;156
24.10.14;303;162;256;261;150
25.10.14;309;162;297;263;150
26.10.14;319;149;285;258;147
27.10.14;318;143;285;256;146
28.10.14;335;141;268;249;144
29.10.14;336;135;242;250;145
30.10.14;362;130;226;251;139
31.10.14;350;128;259;251;135
01.11.14;352;127;261;252;134
02.11.14;350;139;260;245;130
03.11.14;347;150;257;248;136
04.11.14;355;148;298;243;139
05.11.14;364;143;295;241;137
06.11.14;381;145;261;238;137
07.11.14;386;142;257;239;142
08.11.14;387;132;281;243;147
09.11.14;396;136;302;240;149
10.11.14;401;143;291;238;152
11.11.14;401;126;302;237;155
12.11.14;380;124;260;243;157
13.11.14;375;126;264;249;159
14.11.14;382;132;269;254;161
15.11.14;382;138;304;258;168
16.11.14;382;155;283;260;172
17.11.14;392;178;275;265;177
18.11.14;390;180;272;265;177
19.11.14;401;190;266;264;178
20.11.14;386;193;247;266;182
21.11.14;381;189;261;267;183
22.11.14;381;184;280;267;186
23.11.14;375;183;281;264;189
24.11.14;366;170;248;258;188
25.11.14;355;157;246;252;188
26.11.14;349;152;254;249;186
27.11.14;348;148;256;248;180
28.11.14;349;143;225;243;177
29.11.14;343;153;260;242;173
30.11.14;347;165;262;237;168
01.12.14;344;159;254;224;163
02.12.14;349;157;250;214;156
03.12.14;335;153;258;211;151
04.12.14;330;147;233;199;150
05.12.14;333;139;237;189;148
06.12.14;334;135;256;186;148
07.12.14;344;131;264;179;143
08.12.14;346;123;257;180;140
09.12.14;368;125;274;174;131
10.12.14;346;126;264;175;124
11.12.14;331;129;227;168;118
12.12.14;321;127;230;161;116
13.12.14;318;128;261;166;118
14.12.14;315;130;253;159;113
15.12.14;313;126;211;166;116
16.12.14;319;126;214;168;117
17.12.14;322;131;231;173;119
18.12.14;311;134;245;171;120
19.12.14;312;134;215;172;123
20.12.14;301;135;212;178;125
21.12.14;288;132;217;183;127
22.12.14;272;139;244;188;128
23.12.14;272;136;222;194;127
24.12.14;263;131;225;201;127
25.12.14;254;134;236;210;129
26.12.14;247;133;245;215;129
27.12.14;247;133;251;223;131
28.12.14;240;141;297;222;130
29.12.14;248;152;323;227;137
30.12.14;257;158;263;236;139
31.12.14;273;167;212;240;141
01.01.15;279;176;216;243;140
02.01.15;284;181;245;245;142
03.01.15;289;178;241;248;143
04.01.15;303;171;266;247;147
05.01.15;313;173;266;250;149
06.01.15;319;161;291;246;149
07.01.15;328;152;293;249;148
08.01.15;330;153;265;243;149
09.01.15;331;152;275;237;149
10.01.15;334;154;339;235;149
11.01.15;342;169;314;232;146
12.01.15;327;174;278;234;147
13.01.15;328;181;270;230;151
14.01.15;330;190;271;234;153
15.01.15;338;193;266;237;154
16.01.15;344;195;272;240;153
17.01.15;346;198;248;249;153
18.01.15;358;190;263;245;148
19.01.15;343;180;256;253;148
20.01.15;339;164;263;250;146
21.01.15;337;154;274;254;146
22.01.15;338;145;292;256;145
23.01.15;329;126;261;261;147
24.01.15;327;120;285;271;150
25.01.15;326;126;297;267;149
26.01.15;326;121;272;267;150
27.01.15;328;116;241;261;151
28.01.15;327;122;262;262;153
29.01.15;327;129;245;261;153
30.01.15;334;135;247;261;155
31.01.15;332;132;272;260;153
01.02.15;338;134;300;256;152
02.02.15;338;139;310;259;153
03.02.15;348;150;315;255;152
04.02.15;342;157;297;250;148
05.02.15;341;163;252;249;146
06.02.15;340;173;234;244;143
07.02.15;343;166;244;247;146
08.02.15;342;171;281;245;140
09.02.15;353;172;285;249;140
10.02.15;362;168;277;253;136
11.02.15;354;166;239;251;133
12.02.15;355;160;232;252;134
13.02.15;359;156;242;253;136
14.02.15;353;155;277;259;135
15.02.15;348;153;276;260;140
16.02.15;345;148;258;264;142
17.02.15;346;148;233;263;141
18.02.15;340;152;266;266;142
19.02.15;338;159;257;269;145
20.02.15;328;147;261;273;147
21.02.15;325;137;270;282;153
22.02.15;324;134;301;282;159
23.02.15;312;141;253;274;158
24.02.15;317;136;238;271;161
25.02.15;317;133;226;270;159
26.02.15;316;134;258;272;159
27.02.15;319;129;267;270;161
28.02.15;321;139;283;275;165
01.03.15;323;145;279;275;164
02.03.15;320;150;283;272;162
03.03.15;324;160;266;272;160
04.03.15;324;177;247;276;161
05.03.15;324;178;206;277;160
06.03.15;317;183;221;277;162
