"","x"
"1","Regen, Schnee und Graupelschauer nerven? Dann ist die ideale Zeit gekommen, um der Wohnung ein Upgrade zu verpassen. http://t.co/1DDIkYLnd9"
"2","Null Zinsen? Kein Thema mit der 0% Prozent Finanzierung von toom Baumarkt! http://t.co/Z7GNZSgsSb"
"3","Nur heute zwischen 20 und 22 Uhr: Gutscheinkarte in Höhe von 50 Euro für nur 40 Euro. In teilnehmenden Märkten. http://t.co/FMFQRf3AHb"
"4","Weihnachtsspecial beim Selbstbau-Profi: Gewinnt für euer DIY-Projekt eines von drei
Samsung Galaxy Tabs 3 10.1. http://t.co/itcsDA13D8"
"5","Die Gewinner unseres Selbstbauprofi-Wettbewerbs aus dem November stehen fest. Das hast du ebenfalls drauf? Dann los: http://t.co/itcsDA13D8"
"6","Unser Windlicht sorgt für kuscheliges Licht und lässt den Raum weihnachtlich duften. http://t.co/z12CaikoRF http://t.co/gIQXwnc649"
"7","Unsere neue Selbstbau-Idee Tatütata – jetzt downloaden und rechtzeitig zum Fest
nachbauen: http://t.co/lwkBSsR7tA"
"8","Das geschenkte Weihnachtsgeschenk: Nur heute bekommt ihr bei uns ab einem Einkauf von je 100 Euro eine 20€-Gutscheinkarte gratis dazu."
"9","Sparfüchse aufgepasst: Am Freitag ist Gutscheintag! Am 28.11. bekommt ihr beim Einkauf im Wert von 100€ einen 20€ toom Gutschein geschenkt."
"10","@eddiethoneick Nicht gut. Schreibe uns doch eine Mail an toomteam@toom-baumarkt.de mit Details und wir gehen der Sache nach."
"11","Heute in teilnehmenden Märkten: Vorweihnachtliche Geschenke zum Freitagshammer: http://t.co/FMFQRf3AHb"
"12","Gutes tun und gewinnen: Wir spenden bei „Bunte Vielfalt“ für euren User-Beitrag und verlosen dazu Gutscheinkarten. https://t.co/gLXHoHGasJ"
"13","Unsere neue Selbstbau-Idee „Nuss-Depot“ für Eichhörnchen ist draußen. Hier geht's zur Anleitung: http://t.co/lwkBSs0k5o"
"14","Nur heute in teilnehmenden Märken zwischen 20 und 22 Uhr: Gutscheinkarte im Wert von 50 Euro für 40 Euro. http://t.co/fyb2BJrwHy"
"15","#Azubis leiten ihren eigenen Baumarkt, eine spannende #Ausbildungsaktion bei toom Baumarkt: http://t.co/ofnhU1U0nh"
"16","Spannendes #Ausbildungsprojekt: Beim ""toom Azubimarkt 2014"" führen #Azubis ihren eigenen Markt. http://t.co/ofnhU1U0nh"
"17","Großer Endspurt! Nur noch bis Sonntagnacht könnt ihr bei unserem Heldenhandwerk #Samsung #Galaxy Tabs #gewinnen: http://t.co/KlvmQTWl84"
"18","Für Helden: Jetzt loslegen mit etwas Glück gewinnen - auf Facebook oder mobil auf Handy und Tablett! http://t.co/ZrUSKqSGVa"
"19","Welcher Bodenbelag passt zu mir? Hier findet ihr es raus: http://t.co/DE7IpPx2XH"
"20","Schnell mitmachen: Nur noch heute könnt ihr bei unserer Laviva-Aktion teilnehmen und Gutscheine gewinnen. http://t.co/M9Neu2enCb"
"21","Feiert mit uns heute das Fest für Helden und profitiert von den Aktionsangeboten: http://t.co/r5DHb0PzXF"
"22","Feiert mit uns morgen das „Fest der Helden“ und sichert euch die Bosch Bohrmaschine ""PSB 530 RE"" für 39,99€. http://t.co/yNoHyx1k6c"
"23","Vormerken und mitmischen! Feiert mit uns am 6.9. das „Fest der Helden“ - u. a. mit 30% beim Farbmisch-Service http://t.co/r5DHb0PzXF"
"24","Kennt ihr unseren #Selbstbauprofi? Dort könnt ihr mit euren Projekten monatlich 333€#Gutscheine #gewinnen: http://t.co/WDSuCvpvld"
"25","Bis Sonntag auf Facebook: Foto mit Baum schießen und mit etwas Glück 3 Apple #iPad Air und mehr #gewinnen: http://t.co/EtbPgONPuP"
"26","#Freitagshammer von 20 bis 22 Uhr:  Ab 50 Euro Einkaufswert Campingstuhl gratis, ab 100 Laptopgrill dazu. http://t.co/10MmhChT2o"
"27","Selfie mit Self Tree: Jetzt Foto machen und mit etwas Glück eines von 3 iPad Air #gewinnen:  http://t.co/RmsuYXzJoX"
"28","@lelei Hallo Christian! Wenn es eine konkrete Kritik gibt, schreibe uns gerne an toomteam@toom-baumarkt.de."
