Date;REWE;toom;BIPA
01.07.14;244;204;259
02.07.14;268;197;282
03.07.14;271;197;280
04.07.14;269;185;312
05.07.14;273;184;343
06.07.14;271;181;387
07.07.14;282;182;387
08.07.14;277;178;430
09.07.14;271;184;448
10.07.14;277;189;466
11.07.14;267;203;512
12.07.14;261;213;466
13.07.14;259;221;607
14.07.14;270;210;723
15.07.14;253;212;819
16.07.14;241;209;871
17.07.14;232;200;923
18.07.14;235;192;925
19.07.14;223;191;928
20.07.14;216;187;927
21.07.14;229;189;931
22.07.14;236;183;977
23.07.14;243;182;992
24.07.14;256;182;987
25.07.14;271;182;935
26.07.14;276;184;913
27.07.14;288;187;888
28.07.14;302;187;890
29.07.14;320;195;863
30.07.14;342;199;836
31.07.14;343;195;810
01.08.14;333;193;784
02.08.14;333;189;763
03.08.14;335;185;721
04.08.14;331;187;741
05.08.14;330;196;680
06.08.14;334;206;616
07.08.14;331;193;554
08.08.14;327;188;548
09.08.14;317;185;539
10.08.14;328;182;542
11.08.14;318;190;530
12.08.14;297;199;418
13.08.14;293;197;343
14.08.14;301;200;323
15.08.14;304;202;282
16.08.14;307;203;246
17.08.14;282;205;246
18.08.14;268;207;209
19.08.14;266;207;160
20.08.14;259;209;204
21.08.14;273;212;219
22.08.14;272;229;239
23.08.14;285;222;201
24.08.14;270;230;216
25.08.14;278;234;282
26.08.14;281;239;290
27.08.14;296;241;298
28.08.14;293;244;356
29.08.14;293;240;329
30.08.14;293;241;359
31.08.14;284;245;363
01.09.14;291;250;364
02.09.14;297;248;369
03.09.14;304;234;385
04.09.14;314;232;373
05.09.14;314;213;353
06.09.14;328;206;365
07.09.14;317;196;360
08.09.14;320;192;366
09.09.14;301;189;357
10.09.14;304;193;366
11.09.14;312;191;369
12.09.14;311;194;373
13.09.14;311;196;379
14.09.14;316;197;385
15.09.14;323;186;371
16.09.14;332;182;378
17.09.14;337;186;385
18.09.14;349;186;390
19.09.14;354;194;395
20.09.14;355;202;395
21.09.14;359;202;400
22.09.14;368;191;392
23.09.14;386;192;404
24.09.14;385;188;385
25.09.14;384;191;385
26.09.14;372;192;384
27.09.14;375;185;389
28.09.14;370;192;389
29.09.14;369;191;410
30.09.14;366;193;400
01.10.14;346;195;390
02.10.14;346;198;359
03.10.14;325;202;338
04.10.14;306;206;308
05.10.14;289;207;294
06.10.14;284;205;279
07.10.14;269;200;263
08.10.14;263;197;264
09.10.14;249;203;252
10.10.14;259;203;257
11.10.14;254;201;255
12.10.14;240;204;264
13.10.14;244;202;272
14.10.14;263;205;265
15.10.14;262;202;258
16.10.14;272;209;257
17.10.14;249;219;260
18.10.14;258;206;264
19.10.14;267;207;270
20.10.14;274;204;250
21.10.14;290;208;244
22.10.14;292;213;248
23.10.14;304;215;265
24.10.14;303;221;223
25.10.14;309;224;240
26.10.14;319;221;235
27.10.14;318;224;233
28.10.14;335;229;248
29.10.14;336;237;269
30.10.14;362;244;251
31.10.14;350;253;242
01.11.14;352;253;250
02.11.14;350;256;274
03.11.14;347;249;270
04.11.14;355;240;283
05.11.14;364;231;275
06.11.14;381;227;260
07.11.14;386;225;245
08.11.14;387;220;265
09.11.14;396;213;263
10.11.14;401;208;251
11.11.14;401;199;257
12.11.14;380;196;270
13.11.14;375;194;294
14.11.14;382;197;320
15.11.14;382;186;334
16.11.14;382;189;343
17.11.14;392;192;360
18.11.14;390;201;365
19.11.14;401;204;370
20.11.14;386;206;381
21.11.14;381;214;390
22.11.14;381;205;391
23.11.14;375;205;391
24.11.14;366;210;384
25.11.14;355;216;383
26.11.14;349;212;379
27.11.14;348;197;374
28.11.14;349;189;364
29.11.14;343;190;359
30.11.14;347;186;345
01.12.14;344;187;314
02.12.14;349;180;294
03.12.14;335;180;286
04.12.14;330;170;274
05.12.14;333;169;246
06.12.14;334;168;199
07.12.14;344;166;176
08.12.14;346;161;174
09.12.14;368;162;158
10.12.14;346;167;143
11.12.14;331;169;130
12.12.14;321;174;141
13.12.14;318;167;157
14.12.14;315;173;183
15.12.14;313;179;208
16.12.14;319;184;209
17.12.14;322;186;211
18.12.14;311;186;204
19.12.14;312;197;231
20.12.14;301;199;232
21.12.14;288;190;237
22.12.14;272;190;233
23.12.14;272;188;245
24.12.14;263;188;254
25.12.14;254;185;275
26.12.14;247;188;286
27.12.14;247;190;289
28.12.14;240;197;302
29.12.14;248;202;314
30.12.14;257;209;336
31.12.14;273;222;334
01.01.15;279;215;330
02.01.15;284;215;331
03.01.15;289;217;336
04.01.15;303;223;341
05.01.15;313;219;339
06.01.15;319;214;337
07.01.15;328;219;330
08.01.15;330;219;337
09.01.15;331;216;336
10.01.15;334;218;330
11.01.15;342;220;324
12.01.15;327;218;328
13.01.15;328;213;327
14.01.15;330;220;314
15.01.15;338;213;298
16.01.15;344;208;302
17.01.15;346;205;302
18.01.15;358;203;301
19.01.15;343;202;304
20.01.15;339;198;298
21.01.15;337;205;294
22.01.15;338;204;281
23.01.15;329;214;274
24.01.15;327;212;289
25.01.15;326;208;292
26.01.15;326;211;281
27.01.15;328;211;283
28.01.15;331;217;276
29.01.15;324;217;269
30.01.15;328;211;274
31.01.15;332;213;288
01.02.15;341;219;278
02.02.15;345;211;271
03.02.15;347;207;278
04.02.15;345;203;274
05.02.15;339;198;271
06.02.15;338;195;254
07.02.15;338;197;253
08.02.15;342;199;256
09.02.15;349;200;259
10.02.15;346;194;265
11.02.15;349;187;258
12.02.15;349;185;266
13.02.15;364;190;282
14.02.15;362;177;293
15.02.15;361;174;291
